estimand,taxon_group,paired_taxon_region_pairs,acsp_minus_sdm_mean_difference,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,acsp_mean_pair_recall,sdm_mean_pair_recall
all_declared_intention_to_evaluate,all,24,-0.0002743544457457217,-0.038519007969252686,0.03674634225309018,0.9894010598940106,,
all_declared_intention_to_evaluate,animal,12,-0.0020360064665498,-0.07958518528582159,0.07151670287197165,0.9639036096390361,0.11448863375604723,0.11652464022259702
all_declared_intention_to_evaluate,plant,12,0.0014872975750583547,-0.0110992407936931,0.013810923185753362,0.8294170582941706,0.05213728682668515,0.05064998925162679
sdm_evaluable_folds_only,all,23,0.04082613055643883,-0.038326575036237064,0.14544892278846544,0.5441455854414559,,
sdm_evaluable_folds_only,animal,11,0.08221940955976964,-0.08013572492849297,0.29864580691759224,0.5785421457854215,,
sdm_evaluable_folds_only,plant,12,0.0028822914700522505,-0.010439267808756094,0.015530857934276197,0.6935306469353064,,
