taxon_group,seed,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive,half_sample_probability_positive,half_sample_q025,half_sample_q975,sign_flip_p
animals,7,0.003806823818120856,0.08412626290471455,0.9874,0.9789,0.0016625871770982864,0.08000158058374846,0.08089191080891911
animals,42,0.0037093797266183025,0.08480897408087558,0.9858,0.9789,0.0016625871770982851,0.08153096543685494,0.07599240075992401
animals,20260702,0.003364919150785437,0.08342443506982375,0.9864,0.9805,0.0016625871770982864,0.08153096543685494,0.0852914708529147
animals,20260705,0.003683203802402868,0.0833037809353791,0.9871,0.9772,0.0001332023239918057,0.08000158058374847,0.08099190080991901
animals,20260715,0.004184964917467646,0.08306419671195552,0.9872,0.9817,0.0016625871770982864,0.08000158058374846,0.07539246075392461
plants,7,0.003379376144129617,0.0373660369110139,0.9958,0.9913,0.002399812052425269,0.03465941688913227,0.024697530246975304
plants,42,0.0037684096863013273,0.03733082140022941,0.9947,0.9929,0.0026899399890125417,0.0348316113023206,0.027097290270972903
plants,20260702,0.003714063695202425,0.03704376804679698,0.995,0.9916,0.002313640455136819,0.0348854901062636,0.022497750224977502
plants,20260705,0.003469442176740565,0.037284125648338266,0.9942,0.9923,0.0025525825353380736,0.03488032653369404,0.023297670232976703
plants,20260715,0.0036753898855151623,0.036935486658858485,0.9964,0.9923,0.002482702636978499,0.03458000717463789,0.024697530246975304
