island,raw_positive_gps_rows,independent_detection_clusters,source_points_after_clustering,cluster_radius_m
kozushima,2,2,2,500.0
niijima,4,4,4,500.0
oshima,13,9,13,500.0
shikinejima,1,1,1,500.0
toshima,8,3,8,500.0
